question,option1,option2,option3,option4,answer,difficulty,createdAt,updatedAt
What is the SI unit of power?,Watt,Joule,Newton,Ohm,0,easy,2025-04-19T07:00:34Z,2025-04-19T07:00:34Z
A stone is dropped from 20 m height. What is its velocity on hitting the ground (g = 10 m/s²)?,20 m/s,10 m/s,15 m/s,25 m/s,0,medium,2025-04-19T07:00:35Z,2025-04-19T07:00:35Z
Which gas is used in fluorescent lamps?,Argon,Helium,Nitrogen,Oxygen,0,hard,2025-04-19T07:00:36Z,2025-04-19T07:00:36Z
Solve for x: 4x + 2 = 10,x=2,x=3,x=4,x=5,1,medium,2025-04-19T07:00:37Z,2025-04-19T07:00:37Z
What is the main constituent of natural gas?,Methane,Ethane,Propane,Butane,0,easy,2025-04-19T07:00:38Z,2025-04-19T07:00:38Z
A 3 kg object is pulled with a force of 12 N. What is its acceleration?,4 m/s²,3 m/s²,6 m/s²,2 m/s²,0,medium,2025-04-19T07:00:39Z,2025-04-19T07:00:39Z
Which element is a halogen?,Chlorine,Carbon,Sulfur,Phosphorus,0,hard,2025-04-19T07:00:40Z,2025-04-19T07:00:40Z
What is the value of cos 45°?,0.707,0.866,0.5,1,0,medium,2025-04-19T07:00:41Z,2025-04-19T07:00:41Z
What is formed when magnesium reacts with oxygen?,MgO,MgCl₂,MgSO₄,Mg(OH)₂,0,easy,2025-04-19T07:00:42Z,2025-04-19T07:00:42Z
A current of 5 A flows through a 10 Ω resistor. What is the voltage?,50 V,25 V,10 V,100 V,0,medium,2025-04-19T07:00:43Z,2025-04-19T07:00:43Z
Which law describes the relationship between pressure and volume at constant temperature?,Boyle’s Law,Charles’ Law,Gay-Lussac’s Law,Avogadro’s Law,0,hard,2025-04-19T07:00:44Z,2025-04-19T07:00:44Z
Integrate x dx from 0 to 3,4.5,3,6,9,0,medium,2025-04-19T07:00:45Z,2025-04-19T07:00:45Z
What is the atomic number of Oxygen?,8,6,16,10,0,easy,2025-04-19T07:00:46Z,2025-04-19T07:00:46Z
A spring with k = 100 N/m is stretched by 0.2 m. What is the potential energy?,2 J,4 J,1 J,8 J,0,hard,2025-04-19T07:00:47Z,2025-04-19T07:00:47Z
Which compound is an alcohol?,Ethanol,Methane,Ethene,Ethane,0,medium,2025-04-19T07:00:48Z,2025-04-19T07:00:48Z
What is the frequency of a wave with wavelength 2 m and speed 20 m/s?,10 Hz,5 Hz,15 Hz,20 Hz,0,easy,2025-04-19T07:00:49Z,2025-04-19T07:00:49Z
A ball is thrown upward at 15 m/s. What is its maximum height (g = 10 m/s²)?,11.25 m,7.5 m,15 m,22.5 m,0,medium,2025-04-19T07:00:50Z,2025-04-19T07:00:50Z
Which element has the lowest atomic mass?,Hydrogen,Helium,Lithium,Beryllium,0,hard,2025-04-19T07:00:51Z,2025-04-19T07:00:51Z
What is the derivative of 2x³?,6x²,2x²,12x²,4x³,0,medium,2025-04-19T07:00:52Z,2025-04-19T07:00:52Z
What gas is released when limestone is heated?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,0,easy,2025-04-19T07:00:53Z,2025-04-19T07:00:53Z